id,org_name,branch,level_1_code,level_1_value,level_2_code,level_2_value,level_3_code,level_3_value,parent_org_id,parent_org_name,top_org_id,top_org_name,province_code,city_code,district_code,create_time,enabled,address
A1000133000227,中国人民银行宁波市中心支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,,,A1000133000037,中国人民银行杭州中心支行,330000,330200,330201,2004/1/1,正常,浙江省宁波市江东北路138号
A1000133000633,中国人民银行象山县支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330225,2004/1/1,正常,浙江省象山县丹城镇金鹰路43号
A1000133000645,中国人民银行宁海县支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330226,2004/1/1,正常,浙江省宁海县跃龙街道中山中路91号
A1000133000658,中国人民银行余姚市支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330281,2004/1/1,正常,浙江省余姚市长城路1号
A1000133000660,中国人民银行慈溪市支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330282,2004/1/1,正常,浙江省慈溪市浒山街道寺山路173号
A1000133000672,中国人民银行奉化市支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330283,2004/1/1,正常,浙江省奉化市庄山路38号
A1000133016279,中国人民银行北仑支行,分支机构,A,货币当局,1,中国人民银行,1,中国人民银行,A1000133000227,中国人民银行宁波市中心支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330206,2010/1/1,正常,浙江省宁波市北仑区新契明州西路185号
C1010233007468,中国工商银行股份有限公司宁波市分行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010211000012,中国工商银行股份有限公司总行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市中山西路218号新兴大厦
C1010233007479,中国工商银行股份有限公司宁波东门支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,宁波市江厦街43号
C1010233007480,中国工商银行股份有限公司宁波鼓楼支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330203,2010/1/1,正常,浙江省宁波市中山西路69号
C1010233007491,中国工商银行股份有限公司宁波江东支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007468,中国工商银行股份有限公司宁波市分行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市江东区中兴路759-773(单号)
